,coffee_name,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
1012,커넥츠 블렌드,블렌드,미디엄,,"월넛, 몰트, 브라운슈가, 건포도, 오렌지, 굿밸런스",3,2,3,1
4674,오렌지 슈가 블렌드,블렌드,미디엄,,-,3,4,4,2
113,빈야도르 블렌드,블렌드,라이트,,"와이니, 오렌지, 라임, 달고 깨끗함",2,4,4,1
3,콜린,블렌드,미디엄다크,공정무역,"다크 초콜릿, 체리, 아몬드",4,2,4,1
1475,아이보리 블렌드,블렌드,미디엄다크,,"아몬드, 너트, 다크초콜렛",4,3,4,2
3229,에티오피아 반티넨카,싱글오리진,라이트미디엄,직접무역,-,1,3,3,1
292,허클베리,블렌드,미디엄,,"크랜베리, 카라멜, 초콜릿",2,3,4,1
275,딥 스모키,블렌드,미디엄다크,유기농,-,5,1,3,5
3486,엘 살바도르 라 시베리아 레드버번 워시드,싱글오리진,라이트,,-,3,3,5,2
180,에티오피아 리무 볼렌소,싱글오리진,미디엄다크,,"초콜릿, 과일",5,3,5,1
4407,디카페인 스윗 블라썸 블렌드,디카페인,다크,,-,4,3,4,3
3333,(배전도: 에스프레소)디카페인 과테말라,디카페인,미디엄다크,공정무역,-,3,3,4,3
266,블랙오르페우스,블렌드,다크,,-,5,1,4,4
4449,ESPRESSO DECAF(디카페인),디카페인,다크,직접무역,-,4,2,2,3
1022,스윗 앤 모어,블렌드,미디엄다크,,"사탕수수, 카라멜, 밀크 초콜릿, 아몬드",4,2,4,1
3028,브라운렄블렌드,블렌드,미디엄다크,,-,4,2,4,2
51,비터스윗 라이프 에디션1,블렌드,미디엄다크,,"카라멜, 황설탕, 밀크초콜릿, 균형감있는 단맛",4,2,4,3
3345,옐로우렄블렌드,블렌드,미디엄다크,,-,4,2,4,2
4837,블랙 스트림 4kg,블렌드,미디엄다크,,-,5,1,4,3
3739,콜롬비아 메사 알타,싱글오리진,미디엄다크,,-,4,3,4,3
3145,케냐 뚱구리 AA TOP 워시드,싱글오리진,미디엄,,-,4,3,4,2
1471,블렌드 신월,블렌드,다크,,"맥아, 흑맥주, 그레인, 다크초콜릿, 스무스바디",5,1,4,4
3553,핀카 엘피날 린다 비스타 게이샤,싱글오리진,라이트,,-,3,4,4,1
137,디카페인 올 데이 블렌드,디카페인,다크,,시나몬,5,2,3,4
235,딥 밸런스,블렌드,미디엄,유기농,초콜릿,4,1,3,4
3898,세피아 블렌딩,블렌드,미디엄다크,,-,4,1,4,4
274,프라이데이,블렌드,미디엄다크,,"블랙베리, 구운 아몬드, 밀크 초콜릿",5,3,4,2
4774,브라질 핀할 카티구아,싱글오리진,라이트,,-,3,5,4,1
1726,Blend Base,블렌드,다크,,-,3,1,2,4
3810,에티오피아 예가체프 첼베사 워시드,싱글오리진,미디엄,,-,3,4,4,2
1105,디카페인 블렌드,디카페인,미디엄다크,,"포도, 메이플시럽, 밀크초콜릿, 홍차",2,4,4,2
3902,버밀리온 헤오 블렌딩,블렌드,미디엄다크,,-,4,1,4,3
224,에티오피아 구지 우라가,싱글오리진,미디엄,직접무역,"청포도, 실키한 바디, 굿밸런스, 레몬주스, 감귤",2,3,2,1
185,리볼브,블렌드,미디엄,,-,3,3,5,1
188,에티오피아 G1 콩가,싱글오리진,미디엄,,"꽃향기, 블루베리, 건자두",3,4,3,2
1025,발렌타인 플러스,블렌드,미디엄다크,,"다크초콜릿, 오크, 감귤, 카라멜",5,2,3,2
3503,D1,블렌드,미디엄다크,,-,4,2,4,3
4766,에티오피아 딤투 테로 내츄럴,싱글오리진,라이트,,-,3,3,4,1
4426,케냐 AA TOP 키안두 스페셜티 풀리워시드,싱글오리진,미디엄,,-,3,4,4,2
3524,핸디엄 밸런스 원두 다크 5kg,블렌드,다크,,-,5,1,4,4
4694,스윗탱고,블렌드,다크,,-,5,1,5,4
3899,카메오 블렌딩,블렌드,미디엄다크,,-,4,1,3,4
4602,디카페인 과테말라,디카페인,미디엄다크,공정무역,-,3,3,3,2
173,CLASSIC BLEND,블렌드,다크,직접무역,"황설탕, 카카오닙스, 초콜릿",3,3,4,2
13,보이져,블렌드,미디엄,,"과일, 꽃향기",3,4,4,2
135,디카페인 에티오피아 블렌드,디카페인,라이트미디엄,,과일,3,4,5,2
1504,콜롬비아 엘 카르멘 워시드,싱글오리진,미디엄,공정무역,"홍사과, 아몬드, 흑당",4,2,5,2
4445,ETNA(에트나),블렌드,미디엄,직접무역,-,3,3,4,2
3196,디카페인 싱글 오리진 커피,디카페인,미디엄다크,,-,3,1,3,2
3893,에티오피아 예가체프G1 아리차 내추럴,싱글오리진,라이트,,-,3,5,5,2
3896,브라질 세라도 디카페인,디카페인,미디엄다크,,-,4,2,4,3
3152,고독,블렌드,미디엄다크,공정무역,-,5,1,4,3
3197,초코퍼지 블렌딩 커피,블렌드,다크,,-,4,1,4,3
4878,과테말라 디카페인 (마운틴 워터 프로세스),디카페인,미디엄다크,,-,4,2,4,2
3340,콜롬비아 디카페인,디카페인,미디엄다크,,-,3,2,4,2
4041,꼬소한쌀밥 블렌딩,블렌드,다크,,-,4,1,5,5
4601,디카페인 브라질,디카페인,미디엄다크,공정무역,-,4,2,3,2
4693,J브라운,블렌드,미디엄,,-,4,1,4,3
3148,콜롬비아 슈가케인 디카페인,디카페인,다크,,-,4,1,4,3
3458,에티오피아 예가체프 아리차 g1 내추럴,싱글오리진,라이트미디엄,유기농,-,3,4,5,1
3151,길들인다,블렌드,미디엄다크,공정무역,-,4,1,3,1
1047,엘리 크릭,블렌드,미디엄다크,직접무역,"카라멜, 다크 체리, 밀크 초콜릿, 스윗",3,3,2,4
4717,"DEEP, DEEPLY 딥 딥플리",블렌드,미디엄다크,,-,4,2,5,2
3891,에티오피아 예가체프 게이샤,싱글오리진,라이트미디엄,,-,3,4,4,3
3584,어텀 블렌드,블렌드,미디엄,,-,3,2,4,3
3563,비터스윗,블렌드,미디엄다크,,-,4,2,3,4
4698,모카 블렌딩,블렌드,미디엄다크,,-,4,1,3,2
60,메이데이,블렌드,미디엄다크,,"과일, 쥬시, 카라멜",3,4,5,1
12,플레이어,블렌드,미디엄다크,,"초콜릿, 견과류",4,2,4,3
103,공단향 블렌드,블렌드,다크,,"카카오, 다크 초콜릿, 블랙베리",4,2,5,4
4702,과테말라 안티구아 SHB,싱글오리진,미디엄다크,,-,3,1,3,1
4429,과테말라 안티구아 파노라마 SHB EP 풀리워시드,싱글오리진,미디엄,,-,3,2,4,3
3357,디카페인 원두,디카페인,미디엄다크,,-,3,1,4,2
4790,아시아 블랜드,블렌드,다크,,-,4,1,3,4
