,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
에티오피아 시다마 파피초 내추럴,싱글오리진,라이트,,-,2,3,5,1
클래식 골드 블렌드,블렌드,다크,직접무역,-,4,1,4,3
ETNA(에트나),블렌드,미디엄,직접무역,-,3,3,4,2
마이 로맨스,블렌드,미디엄,직접무역,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""4BB8A44F255CEA5FBAA301A27194E9B6_element_11667"")>",3,4,4,2
디카페인 원두 (브라질),디카페인,미디엄다크,,-,4,1,4,4
브라이트,블렌드,라이트미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""61D99254B2C197341AE9B294A588D65F_element_11848"")>",2,4,3,1
모카 블렌딩,블렌드,미디엄다크,,-,4,1,3,2
레드 블렌딩 커피,블렌드,미디엄,,-,2,4,3,1
싸우스폴 블렌드,블렌드,미디엄다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""9746DB7BE2C5B94569FE3E0B97DE03CC_element_12135"")>",4,1,4,1
에티오피아 디카페인,디카페인,라이트미디엄,,-,3,4,4,3
브루클린,블렌드,미디엄,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""51E0DA719603DC6FA97AE34D0E0A4D62_element_12449"")>",3,3,4,1
브라질 I.P 아카이아 내추럴,싱글오리진,미디엄,,-,2,2,4,1
디카페인 올 데이 블렌드,디카페인,다크,,"<selenium.webdriver.remote.webelement.WebElement (session=""586a1cce431001095a44d9f7c35facd9"", element=""4BE01E908868670EF3BEA3AD7E7B76A3_element_12872"")>",5,2,3,4
호수 블렌드,블렌드,다크,,-,5,1,5,2
네이비렄 블렌드,블렌드,미디엄다크,,-,3,2,4,2
