userid,coffeeid,Stars,created_date
13,545,2,2023-11-16 01:11:12.124484
13,551,2,2023-11-16 01:11:12.130636
13,556,2,2023-11-16 01:11:12.134238
14,133,5,2023-11-16 01:48:20.436013
14,160,3,2023-11-16 01:48:20.442102
14,173,4,2023-11-16 01:48:20.445633
14,265,5,2023-11-16 01:48:20.447454
14,303,2,2023-11-16 01:48:20.450894
14,342,2,2023-11-16 01:48:20.454347
14,346,2,2023-11-16 01:48:20.457837
14,436,2,2023-11-16 01:48:20.459738
14,472,2,2023-11-16 01:48:20.463403
14,495,4,2023-11-16 01:48:20.467110
15,54,3,2023-11-16 01:48:42.404870
15,91,2,2023-11-16 01:48:42.408741
15,121,4,2023-11-16 01:48:42.412218
15,219,1,2023-11-16 01:48:42.419088
15,264,3,2023-11-16 01:48:42.422893
15,355,1,2023-11-16 01:48:42.427119
15,457,4,2023-11-16 01:48:42.431138
15,496,4,2023-11-16 01:48:42.440750
15,544,4,2023-11-16 01:48:42.447341
15,550,4,2023-11-16 01:48:42.453796
16,4,4,2023-11-16 01:52:17.222190
16,9,1,2023-11-16 01:52:17.225840
16,54,2,2023-11-16 01:52:17.229927
16,164,5,2023-11-16 01:52:17.231689
16,200,4,2023-11-16 01:52:17.235215
16,268,1,2023-11-16 01:52:17.238412
16,270,5,2023-11-16 01:52:17.242079
16,369,2,2023-11-16 01:52:17.245740
16,459,1,2023-11-16 01:52:17.249760
16,551,4,2023-11-16 01:52:17.251548
17,8,3,2023-11-16 02:02:25.984177
17,122,4,2023-11-16 02:02:25.990247
17,160,3,2023-11-16 02:02:25.993735
17,260,4,2023-11-16 02:02:25.995528
17,298,2,2023-11-16 02:02:25.999076
17,372,2,2023-11-16 02:02:26.003283
17,473,4,2023-11-16 02:02:26.006748
17,509,4,2023-11-16 02:02:26.010449
17,541,3,2023-11-16 02:02:26.013871
17,551,3,2023-11-16 02:02:26.015656
18,20,1,2023-11-16 02:04:03.952675
18,112,2,2023-11-16 02:04:03.955889
18,133,1,2023-11-16 02:04:03.961251
18,164,1,2023-11-16 02:04:03.964017
18,223,1,2023-11-16 02:04:03.967076
18,329,1,2023-11-16 02:04:03.970497
18,439,1,2023-11-16 02:04:03.973766
18,515,1,2023-11-16 02:04:03.975831
18,526,1,2023-11-16 02:04:03.979145
18,545,1,2023-11-16 02:04:03.982271
19,70,4,2023-11-16 02:05:49.712228
19,229,3,2023-11-16 02:05:49.715840
19,238,2,2023-11-16 02:05:49.719309
19,307,4,2023-11-16 02:05:49.723408
19,354,2,2023-11-16 02:05:49.726758
19,358,3,2023-11-16 02:05:49.730435
19,394,2,2023-11-16 02:05:49.733961
19,429,3,2023-11-16 02:05:49.735767
19,470,3,2023-11-16 02:05:49.739615
19,555,4,2023-11-16 02:05:49.745517
20,44,5,2023-11-16 02:06:22.689074
20,62,5,2023-11-16 02:06:22.692698
20,174,2,2023-11-16 02:06:22.695546
20,198,3,2023-11-16 02:06:22.698737
20,219,3,2023-11-16 02:06:22.701641
20,234,5,2023-11-16 02:06:22.703154
20,238,5,2023-11-16 02:06:22.706233
20,257,2,2023-11-16 02:06:22.709390
20,478,2,2023-11-16 02:06:22.711120
20,519,5,2023-11-16 02:06:22.714492
21,14,4,2023-11-16 02:20:30.118944
21,115,4,2023-11-16 02:20:30.125283
21,148,2,2023-11-16 02:20:30.128443
21,152,5,2023-11-16 02:20:30.131832
21,203,4,2023-11-16 02:20:30.135524
21,210,3,2023-11-16 02:20:30.139098
21,479,3,2023-11-16 02:20:30.142544
21,494,2,2023-11-16 02:20:30.145946
21,509,2,2023-11-16 02:20:30.147700
21,556,3,2023-11-16 02:20:30.150919
22,11,4,2023-11-16 02:27:21.012580
22,66,4,2023-11-16 02:27:21.022054
22,73,2,2023-11-16 02:27:21.027266
22,133,4,2023-11-16 02:27:21.031363
