,ID,타입,로스팅 포인트,지속가능성,컵 노트,바디감,신맛,단맛,쓴맛
DCW 블렌드,1086,디카페인,미디엄,,"카라멜, 너트, 오렌지",2,2,3,2
써니비치,4321,블렌드,라이트미디엄,,-,2,4,4,1
타이거릴리,3909,디카페인,라이트미디엄,직접무역,-,3,3,4,2
화사한 빈도,4153,블렌드,라이트미디엄,,-,3,3,4,3
디카페인 에티오피아 예가체프 워카 내추럴 스위스 워터,61,디카페인,다크,,"건자두, 캐러멜, 다크 초콜릿",4,2,4,3
302 블렌드,3157,블렌드,미디엄다크,유기농,-,4,3,5,2
콜롬비아 엘 카르멘 워시드,1504,싱글오리진,미디엄,공정무역,"홍사과, 아몬드, 흑당",4,2,5,2
도화 블렌드,36,블렌드,미디엄,,"초콜릿, 과일",4,3,4,3
Winter 블렌딩,3457,블렌드,미디엄다크,유기농,-,5,1,4,3
세븐레이크,4313,블렌드,미디엄,,-,3,3,4,3
디카페인 블렌딩,3069,디카페인,미디엄다크,,-,4,3,4,2
브라질 옐로우버번 MWP 디카페인원두,1714,디카페인,미디엄다크,,-,3,2,5,3
위WE,117,블렌드,미디엄,직접무역,"천도복숭아, 바닐라, 마카다미아",3,4,5,2
카펜터,10,블렌드,미디엄다크,,"오렌지, 자두, 블랙슈가, 다크초콜릿, 좋은 밸런스",3,3,4,3
레드베릴 블렌드,3043,블렌드,미디엄,,-,2,4,4,2
캠프파이어 블렌드,1712,블렌드,미디엄,,-,3,3,3,3
에티오피아 코케 허니 예가체프 G1,1710,싱글오리진,미디엄다크,,"오렌지, 복숭아, 밀크초콜릿",3,4,5,1
올드네이버,3026,블렌드,다크,,-,5,1,4,4
과테말라 디카페인 마운틴워터 프로세스,1017,디카페인,미디엄다크,,"헤이즐넛, 초콜릿, 토마토, 굿 바디",4,3,4,2
R 블렌드,1341,블렌드,미디엄,,"꽃향, 은은한 산미, 좋은 바디",3,3,3,2
디카페인 블렌드 위켄드,4017,디카페인,미디엄다크,,-,4,1,4,3
COLOMBIA TAMARA(콜롬비아 타마라),4459,싱글오리진,미디엄,직접무역,-,4,3,3,3
카라멜 슬럽 블렌드,1340,블렌드,미디엄,,"카라멜, 말린과일, 아몬드",3,2,4,2
로엄버 블렌딩,3900,블렌드,미디엄,,-,3,2,3,3
아이에스오 백,3392,블렌드,다크,,-,4,1,3,3
조바티 디카페인 블렌드,3914,디카페인,미디엄다크,직접무역,-,3,3,3,2
과테말라 산로렌조 엘쿠로 블랙허니,4840,싱글오리진,라이트미디엄,,-,3,3,3,3
시즈널 블렌드 '여름',4306,블렌드,라이트,공정무역,-,3,4,4,2
디카페인 고소한 빈도,4172,디카페인,미디엄,,-,3,2,4,3
율 디캐프 다크,1478,디카페인,다크,,"구운 밤, 잣, 밀크 초콜렛",3,1,4,2
