coffeeid,body,sour,sweet,bitter,caf,blend,single,지속가능성_0,지속가능성_공정무역,지속가능성_유기농,지속가능성_직접무역,로스팅 포인트_다크,로스팅 포인트_라이트,로스팅 포인트_라이트미디엄,로스팅 포인트_미디엄,로스팅 포인트_미디엄다크,꽃,과일,허브,달콤함,고소함,향료,초콜릿
125,4,4,5,2,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
126,3,2,4,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
127,2,2,3,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
128,2,3,3,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
129,3,2,3,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
130,2,2,3,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
131,4,2,4,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
132,4,2,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
133,5,1,5,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,2,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
135,2,3,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
136,4,1,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
137,4,3,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
138,4,1,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
139,2,4,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
140,3,3,4,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
141,2,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
142,5,2,5,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
143,5,1,4,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
144,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
145,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
146,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
147,4,3,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
148,4,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
149,3,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
150,4,1,3,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
151,3,3,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
152,3,2,3,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
153,4,1,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
154,3,4,5,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
155,4,2,4,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
156,4,3,4,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
